model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
xgb_quantile,dengue,1,AC,2022-10-09,16,2022-06-19,3.484876819796592,6.543568204761053,12.510791354963521,25.79540395960597,50.87413216275078,108.21032204229765,241.12069682286412,393.0424814311817,605.7230507770464,31,19.507263590909034,19.507263590909034,0.0,0.0,19.874132162750783,True,True,True,True
xgb_quantile,dengue,1,AC,2022-10-16,17,2022-06-19,3.8898756262357987,7.249327007954857,13.755886812529662,29.472180024653333,59.18927704833168,126.13375715039719,276.4688866086779,444.5333375615856,659.3296989306697,38,22.062561976779783,22.062561976779783,0.0,0.0,21.189277048331682,True,True,True,True
xgb_quantile,dengue,1,AC,2022-10-23,18,2022-06-19,3.922500246355719,7.392360671416871,14.000751192473492,30.60257888709358,62.502327893941704,134.20495904183485,295.0966699473463,469.2538487580487,688.7887246527491,43,23.105795750141084,23.105795750141084,0.0,0.0,19.502327893941704,True,True,True,True
xgb_quantile,dengue,1,AC,2022-10-30,19,2022-06-19,3.993221291094579,7.615540690799507,14.42737644136485,31.94938109848397,68.79289077855397,150.3147715967786,328.157214450654,520.4596858414603,751.454371527597,35,27.153225072938923,27.153225072938923,0.0,0.0,33.79289077855397,True,True,True,True
xgb_quantile,dengue,1,AC,2022-11-06,20,2022-06-19,4.392654441913296,8.187887808682047,15.508511012169748,34.53562073283148,74.91181933386497,166.2523583116524,368.796152492435,607.15388262495,902.0211099186196,40,30.68952651942118,30.68952651942118,0.0,0.0,34.91181933386497,True,True,True,True
xgb_quantile,dengue,1,AC,2022-11-13,21,2022-06-19,4.655501697959409,8.532707166162373,16.038006013158526,35.698052411900115,77.58177804205017,171.7803308232551,379.7044162811211,626.9043101515421,934.2411506019621,30,34.2298607632065,32.963626893895366,1.2662338693111366,0.0,47.581778042050175,False,True,True,True
xgb_quantile,dengue,1,AC,2022-11-20,22,2022-06-19,4.6386403358327355,8.527527516926197,16.087529023245743,35.992352862186685,78.4402654599112,175.51207417023866,394.54956661160355,657.8330106273761,982.2640659443775,20,38.85433988305048,35.30048369145344,3.553856191597041,0.0,58.4402654599112,False,True,True,True
xgb_quantile,dengue,1,AC,2022-11-27,23,2022-06-19,4.765913810010062,8.692307721815682,16.41371696371875,36.77118144124329,80.05805054087787,178.97597365485638,404.36393325281523,675.2107684696492,1004.4227175954279,30,36.54750433911606,35.0427973521731,1.504706986942954,0.0,50.05805054087787,False,True,True,True
xgb_quantile,dengue,1,AC,2022-12-04,24,2022-06-19,4.770179751401575,8.707839762717446,16.456053071107362,37.00240213318765,81.08229087115146,182.62093116148853,415.32295532483795,691.7781562281865,1024.414146292357,12,44.43011957980363,37.88379620107141,6.546323378732225,0.0,69.08229087115146,False,False,True,True
xgb_quantile,dengue,1,AC,2022-12-11,25,2022-06-19,4.770179751401575,8.707839762717446,16.456053071107362,37.00240213318765,81.08229087115146,182.62093116148853,415.32295532483795,691.7781562281865,1024.414146292357,12,44.43011957980363,37.88379620107141,6.546323378732225,0.0,69.08229087115146,False,False,True,True
xgb_quantile,dengue,1,AC,2022-12-18,26,2022-06-19,4.613826212174929,8.507757125514747,16.115402759518112,36.31845925587464,79.89098320619219,181.3662086976523,414.2525361982245,690.5908651614624,1021.463516390009,13,43.440089328677146,37.56589776970097,5.874191558976168,0.0,66.89098320619219,False,False,True,True
xgb_quantile,dengue,1,AC,2022-12-25,27,2022-06-19,0.0,2.070816057176816,5.612389541205514,13.366710993636985,26.79538511830635,60.95703842131652,146.1269961326046,269.5707988862691,475.5285090132999,44,13.292124849709717,13.292124849709717,0.0,0.0,17.20461488169365,True,True,True,True
xgb_quantile,dengue,1,AC,2023-01-01,28,2022-06-19,4.724136153960026,8.941278369077736,17.71333335743045,42.37628930458793,97.96869755075828,247.03197249017742,615.089432961783,1045.8497544893048,1551.5776731151468,133,48.65198760255433,48.65198760255433,0.0,0.0,35.03130244924172,True,True,True,True
xgb_quantile,dengue,1,AC,2023-01-08,29,2022-06-19,4.709399282898397,9.067362975192353,18.24932927457021,44.46421049569786,105.84345850406514,275.0894791985168,691.1608728429842,1174.8226278057525,1765.177165427312,127,52.8500443723671,52.8500443723671,0.0,0.0,21.15654149593486,True,True,True,True
xgb_quantile,dengue,1,AC,2023-01-15,30,2022-06-19,4.769221223489649,9.300927694309404,18.903854907069952,46.866946728045654,112.86453206613277,294.34352163168074,733.5914786325803,1237.6997866186132,1858.293436761772,155,58.25859742223682,58.25859742223682,0.0,0.0,42.13546793386723,True,True,True,True
xgb_quantile,dengue,1,AC,2023-01-22,31,2022-06-19,4.682022435952126,9.303085854805946,19.049362789456527,47.75638167194588,116.12162098332843,305.9181020461736,763.840467658148,1280.4141046720374,1909.1885245054623,180,62.694876351413605,62.694876351413605,0.0,0.0,63.87837901667157,True,True,True,True
xgb_quantile,dengue,1,AC,2023-01-29,32,2022-06-19,4.769569744548733,9.528817086002958,19.64231372298957,49.70342386427293,122.46498862087704,322.93580798518315,800.3103720437119,1322.5661635764695,1961.9257483310907,191,65.60515096467738,65.60515096467738,0.0,0.0,68.53501137912296,True,True,True,True
xgb_quantile,dengue,1,AC,2023-02-05,33,2022-06-19,4.910023167857415,9.73628822024983,20.019606345608548,50.88729622163161,126.01752775063177,329.37273221361323,810.1036127099391,1314.1906640241154,1939.7653859060151,196,66.04779969283553,66.04779969283553,0.0,0.0,69.98247224936823,True,True,True,True
xgb_quantile,dengue,1,AC,2023-02-12,34,2022-06-19,4.961401763711791,9.810353118131513,20.121278667475117,51.18045544020055,126.56208954136584,323.2660681985477,784.7745523164155,1275.0868363085897,1900.9679088438306,204,65.30437169340529,65.30437169340529,0.0,0.0,77.43791045863416,True,True,True,True
xgb_quantile,dengue,1,AC,2023-02-19,35,2022-06-19,4.915378080276224,9.74483477775412,19.978341397945243,50.89920156766735,125.67405891663408,320.1770377795447,774.1361903183472,1256.6008856062147,1875.6145138334682,192,63.33522120487675,63.33522120487675,0.0,0.0,66.32594108336592,True,True,True,True
xgb_quantile,dengue,1,AC,2023-02-26,36,2022-06-19,4.887768306843688,9.700952632222924,19.817299919941306,51.09443465978106,125.44769933832025,302.76518440603434,694.6938368728659,1108.963716136965,1619.8589760374969,257,64.78197996248869,64.78197996248869,0.0,0.0,131.55230066167974,True,True,True,True
xgb_quantile,dengue,1,AC,2023-03-05,37,2022-06-19,4.816653991232777,9.436009947031328,19.25356460374515,49.02132721616416,117.42888971275167,275.52205749617247,618.7005098875192,985.4392575368403,1431.6678214994797,231,57.294860846488945,57.294860846488945,0.0,0.0,113.57111028724833,True,True,True,True
xgb_quantile,dengue,1,AC,2023-03-12,38,2022-06-19,4.653829318647681,9.037353805042565,18.512682169918698,45.828379105065586,106.90180252630098,244.9737549896365,545.9940601888634,872.2186594679428,1308.4962075040537,288,69.30332227956232,59.74193449948153,0.0,9.56138778008078,181.09819747369903,False,True,True,True
xgb_quantile,dengue,1,AC,2023-03-19,39,2022-06-19,4.022596970401935,8.17931187894395,16.99764756057343,41.491176738785796,95.28362760627186,209.80527608151633,451.41082996631263,721.4390902250184,1095.564492866914,231,52.783175445849075,48.07323679729714,0.0,4.709938648551928,135.71637239372814,False,True,True,True
xgb_quantile,dengue,1,AC,2023-03-26,40,2022-06-19,3.0070711720311456,6.792597674876935,14.53150770411847,35.101396415001894,79.8418035022133,173.20136091878047,372.2742408771993,592.2982202213634,902.7599578725914,197,45.432467792934204,40.14388133044098,0.0,5.28858646249323,117.1581964977867,False,True,True,True
xgb_quantile,dengue,1,AC,2023-04-02,41,2022-06-19,3.009083874139408,6.804214335769374,14.646159151806158,35.72270701147606,81.23927348199412,175.7386511880456,373.45872472235015,593.2450637272234,902.7025859624517,177,38.18696326531881,37.90666352932894,0.0,0.28029973598986796,95.76072651800588,False,True,True,True
xgb_quantile,dengue,1,AC,2023-04-09,42,2022-06-19,3.104945240065547,6.9632192439619685,15.040031205402045,36.81348743166692,83.56570513998078,179.5447522073437,378.80247500493044,604.7955834120759,923.2924388990037,198,44.58394696587047,40.48278078972462,0.0,4.101166176145846,114.43429486001922,False,True,True,True
xgb_quantile,dengue,1,AC,2023-04-16,43,2022-06-19,3.1026947281405457,6.955707722417627,15.018654555616118,36.74682400073642,83.37798854804323,178.9770373952376,376.79385651890175,601.5326390748725,918.9435486793483,203,46.26531328713279,40.92687715274115,0.0,5.338436134391644,119.62201145195677,False,True,True,True
xgb_quantile,dengue,1,AC,2023-04-23,44,2022-06-19,2.9857680359858945,6.861846617892964,14.959011735053963,36.607211815094345,84.39493684653257,186.92004310684678,403.9972235880252,655.5357371483863,1015.1322880257834,126,34.449315135830794,34.449315135830794,0.0,0.0,41.60506315346743,True,True,True,True
xgb_quantile,dengue,1,AC,2023-04-30,45,2022-06-19,3.0051822960376535,6.882550387591467,15.116168115047106,37.04845861249758,87.07579157995261,200.9100482113662,450.14700997745285,731.9250360845792,1157.2273883956398,134,38.45294782962686,38.45294782962686,0.0,0.0,46.92420842004739,True,True,True,True
xgb_quantile,dengue,1,AC,2023-05-07,46,2022-06-19,2.9604642714824023,6.824916095592335,15.064489247194055,37.196507007415875,88.27946112701876,205.3473245009856,463.5126247984632,755.5145267562809,1191.0896833574247,87,34.36887988938039,34.36887988938039,0.0,0.0,1.279461127018763,True,True,True,True
xgb_quantile,dengue,1,AC,2023-05-14,47,2022-06-19,2.5426739055678547,6.196020048842859,13.821473663098873,33.83722883968613,80.29651398447164,194.7914624245035,452.48960015394005,736.0877189941103,1152.4523522904246,103,35.7109868799861,35.7109868799861,0.0,0.0,22.703486015528355,True,True,True,True
xgb_quantile,dengue,1,AC,2023-05-21,48,2022-06-19,2.107473481633198,5.4362843194106265,12.330577557862046,29.484736859012024,67.9998568475856,166.70784427831416,400.3782957929803,663.3187214869318,1038.0427480401409,77,30.31180532819629,30.31180532819629,0.0,0.0,9.000143152414395,True,True,True,True
xgb_quantile,dengue,1,AC,2023-05-28,49,2022-06-19,2.34664139607027,5.762223251050016,12.846484351190195,30.83385226593262,71.18878319320756,172.0832378986011,402.6871031908054,670.7630990572901,1050.6307055729249,60,30.966210062992396,30.966210062992396,0.0,0.0,11.188783193207556,True,True,True,True
xgb_quantile,dengue,1,AC,2023-06-04,50,2022-06-19,1.568709463931919,4.454496559678326,10.395434868788533,24.790182983884876,55.84705244965791,137.4519852782603,350.76272065872604,609.8581949512694,974.7863019316061,60,26.41761725756224,26.41761725756224,0.0,0.0,4.152947550342091,True,True,True,True
xgb_quantile,dengue,1,AC,2023-06-11,51,2022-06-19,1.376169139901972,4.031913724542778,9.386776221594797,21.90669989549401,48.14330865072423,116.53913223272833,305.2773930837588,534.427814056359,856.8168018864429,27,24.827696651364764,24.827696651364764,0.0,0.0,21.14330865072423,True,True,True,True
xgb_quantile,dengue,1,AC,2023-06-18,52,2022-06-19,1.3988745112737748,3.921978796474014,8.916944539024305,20.252183811819787,42.97796545380562,100.60478067768032,260.71541842875087,458.91372806055466,728.0538738768795,41,19.371764839929952,19.371764839929952,0.0,0.0,1.9779654538056235,True,True,True,True
xgb_quantile,dengue,1,AC,2023-06-25,53,2022-06-19,1.368691091130872,3.7722287293142807,8.51360313519897,18.974853479142023,39.42070459172295,91.06252134273969,233.70508537623917,410.34219121281217,656.2304963056921,29,18.322546831200853,18.322546831200853,0.0,0.0,10.420704591722952,True,True,True,True
xgb_quantile,dengue,1,AC,2023-07-02,54,2022-06-19,1.5669528212930117,4.05979097940716,9.029980535109301,20.036803418212635,41.81530669732326,95.87768093413254,241.20971769398966,425.54919066349095,678.9552004143756,27,19.4655605816802,19.4655605816802,0.0,0.0,14.815306697323258,True,True,True,True
xgb_quantile,dengue,1,AC,2023-07-09,55,2022-06-19,1.20166967220042,3.5253757553743,7.9612803418349705,17.314213544904014,34.84627902490479,77.66112435002445,197.5131832577863,351.9230759352214,563.2552478986853,37,14.797778432239406,14.797778432239406,0.0,0.0,2.1537209750952115,True,True,True,True
xgb_quantile,dengue,1,AC,2023-07-16,56,2022-06-19,1.16858176617224,3.4665278684870926,7.867698267468133,17.148650141399173,34.382374984950935,76.33462938162197,193.6189996372266,347.47580234073115,561.5577891642544,33,14.505112521793617,14.505112521793617,0.0,0.0,1.3823749849509355,True,True,True,True
xgb_quantile,dengue,1,AC,2023-07-23,57,2022-06-19,1.1182761172354325,3.364468672988965,7.6457741402207535,16.622601308001602,32.96856643524323,73.04771593564688,186.1637134655521,337.52423849785356,547.3236405254548,23,14.956772979669953,14.956772979669953,0.0,0.0,9.968566435243233,True,True,True,True
xgb_quantile,dengue,1,AC,2023-07-30,58,2022-06-19,1.2824045255375631,3.5826091351463027,7.974380235862051,17.24825919005878,34.3300031284679,75.75837827862433,190.54868620662174,341.4439248257575,555.58190899097,32,14.400114517692819,14.400114517692819,0.0,0.0,2.330003128467901,True,True,True,True
xgb_quantile,dengue,1,AC,2023-08-06,59,2022-06-19,1.2790062244750062,3.5724238254657648,7.932499434754788,17.092110751784972,34.02635172474408,74.57510258845016,184.97046804056575,329.10265315371294,534.5213674980837,40,14.370875434583986,14.370875434583986,0.0,0.0,5.973648275255918,True,True,True,True
xgb_quantile,dengue,1,AC,2023-08-13,60,2022-06-19,1.1204049021770783,3.40191016714871,7.715644171251359,16.724797669344436,33.46313581853884,73.9620337096035,184.73965399121863,329.50977711112915,535.071110687449,34,13.76317846102731,13.76317846102731,0.0,0.0,0.5368641814611621,True,True,True,True
