model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
naive,dengue,1,AC,2022-10-09,16,2022-06-19,0.0,0.0,0.0,0.0,20.0,94.0,312.20000000000005,889.9999999999995,1249.6999999999991,31,30.213888888888885,30.213888888888885,0.0,0.0,11.0,True,True,True,True
naive,dengue,1,AC,2022-10-16,17,2022-06-19,0.0,0.0,0.0,0.0,18.5,97.0,331.7000000000005,926.1500000000002,1274.9249999999977,38,32.30013888888889,32.30013888888889,0.0,0.0,19.5,True,True,True,True
naive,dengue,1,AC,2022-10-23,18,2022-06-19,0.0,0.0,0.0,0.0,19.0,100.0,362.80000000000007,939.3999999999996,1274.1999999999996,43,33.80111111111111,33.80111111111111,0.0,0.0,24.0,True,True,True,True
naive,dengue,1,AC,2022-10-30,19,2022-06-19,0.0,0.0,0.0,0.0,19.0,101.25,368.9,951.299999999999,1284.45,35,33.30638888888888,33.30638888888888,0.0,0.0,16.0,True,True,True,True
naive,dengue,1,AC,2022-11-06,20,2022-06-19,0.0,0.0,0.0,0.0,20.0,101.0,381.0,968.0,1292.5,40,34.236111111111114,34.236111111111114,0.0,0.0,20.0,True,True,True,True
naive,dengue,1,AC,2022-11-13,21,2022-06-19,0.0,0.0,0.0,0.0,21.5,106.0,376.4000000000003,970.2999999999988,1292.5999999999995,30,33.16,33.16,0.0,0.0,8.5,True,True,True,True
naive,dengue,1,AC,2022-11-20,22,2022-06-19,0.0,0.0,0.0,0.0,22.0,110.0,380.0,983.0000000000001,1313.8999999999999,20,32.99944444444444,32.99944444444444,0.0,0.0,2.0,True,True,True,True
naive,dengue,1,AC,2022-11-27,23,2022-06-19,0.0,0.0,0.0,0.0,27.5,118.0,399.0,970.5499999999994,1307.2749999999996,30,33.74652777777777,33.74652777777777,0.0,0.0,2.5,True,True,True,True
naive,dengue,1,AC,2022-12-04,24,2022-06-19,0.0,0.0,0.0,0.0,29.0,120.0,403.39999999999964,975.3999999999992,1316.35,12,35.67083333333332,35.67083333333332,0.0,0.0,17.0,True,True,True,True
naive,dengue,1,AC,2022-12-11,25,2022-06-19,0.0,0.0,0.0,0.0,29.0,122.0,411.0,982.0,1308.125,12,35.97847222222222,35.97847222222222,0.0,0.0,17.0,True,True,True,True
naive,dengue,1,AC,2022-12-18,26,2022-06-19,0.0,0.0,0.0,0.0,29.0,121.0,401.4000000000001,973.5999999999992,1302.9999999999998,13,35.47666666666666,35.47666666666666,0.0,0.0,16.0,True,True,True,True
naive,dengue,1,AC,2022-12-25,27,2022-06-19,0.0,0.0,0.0,0.0,30.5,119.5,392.9000000000003,977.6000000000004,1310.9499999999994,44,35.01527777777779,35.01527777777779,0.0,0.0,13.5,True,True,True,True
naive,dengue,1,AC,2023-01-01,28,2022-06-19,0.0,0.0,0.0,0.0,32.0,122.0,403.00000000000205,988.1999999999996,1291.4999999999993,133,47.555000000000035,45.11055555555559,0.0,2.4444444444444446,101.0,False,True,True,True
naive,dengue,1,AC,2023-01-08,29,2022-06-19,0.0,0.0,0.0,0.0,33.5,123.75,386.9,974.4999999999993,1296.4250000000002,127,44.61402777777778,43.89180555555556,0.0,0.7222222222222222,93.5,False,True,True,True
naive,dengue,1,AC,2023-01-15,30,2022-06-19,0.0,0.0,0.0,0.0,34.0,124.0,389.0,947.0,1298.0,155,53.599999999999994,46.71111111111111,0.0,6.888888888888889,121.0,False,True,True,True
naive,dengue,1,AC,2023-01-22,31,2022-06-19,0.0,0.0,0.0,0.0,39.0,121.0,385.70000000000016,946.8499999999992,1303.6749999999997,180,61.83430555555555,48.72319444444443,0.0,13.11111111111111,141.0,False,True,True,True
