model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
climate_surge,dengue,1,AC,2022-10-09,16,2022-06-19,1.0,2.0,5.900000000000006,20.0,70.0,219.0,635.2,1003.149999999999,1596.5749999999994,31,49.36152777777777,49.36152777777777,0.0,0.0,39.0,True,True,True,True
climate_surge,dengue,1,AC,2022-10-16,17,2022-06-19,1.0,2.0,5.0,21.75,76.0,250.25,748.1000000000003,1235.4999999999986,2185.6999999999966,38,59.272777777777755,59.272777777777755,0.0,0.0,38.0,True,True,True,True
climate_surge,dengue,1,AC,2022-10-23,18,2022-06-19,1.0,2.0,5.0,21.0,72.0,257.0,685.0000000000002,1241.4499999999996,1984.9999999999945,43,56.23833333333331,56.23833333333331,0.0,0.0,29.0,True,True,True,True
climate_surge,dengue,1,AC,2022-10-30,19,2022-06-19,1.9750000000000014,3.0,7.0,23.0,76.0,252.25,709.4000000000001,1306.3999999999996,2270.249999999999,35,59.98430555555555,59.98430555555555,0.0,0.0,41.0,True,True,True,True
climate_surge,dengue,1,AC,2022-11-06,20,2022-06-19,1.0,3.0,7.0,25.0,92.5,293.25,831.2000000000005,1584.4499999999996,2941.049999999993,40,72.95694444444442,72.95694444444442,0.0,0.0,52.5,True,True,True,True
climate_surge,dengue,1,AC,2022-11-13,21,2022-06-19,1.9750000000000014,3.0,8.0,29.0,89.0,274.5,770.1,1380.999999999999,2012.3249999999998,30,63.6097222222222,63.6097222222222,0.0,0.0,59.0,True,True,True,True
climate_surge,dengue,1,AC,2022-11-20,22,2022-06-19,3.0,5.0,11.0,34.0,113.0,339.0,855.0000000000005,1322.6999999999975,1812.9499999999973,20,73.84083333333331,70.7297222222222,3.111111111111111,0.0,93.0,False,True,True,True
climate_surge,dengue,1,AC,2022-11-27,23,2022-06-19,1.9750000000000014,4.0,9.0,31.0,111.0,325.25,747.2,1151.099999999999,1720.4499999999987,30,64.26652777777775,64.04430555555554,0.2222222222222222,0.0,81.0,False,True,True,True
climate_surge,dengue,1,AC,2022-12-04,24,2022-06-19,2.0,5.0,10.900000000000006,37.0,121.5,351.0,965.0000000000002,1461.5499999999986,2148.075,12,84.47541666666666,78.9198611111111,5.555555555555555,0.0,109.5,False,True,True,True
climate_surge,dengue,1,AC,2022-12-11,25,2022-06-19,2.9750000000000014,5.0,13.900000000000006,41.0,137.0,400.75,1022.3000000000001,1631.1,2403.999999999999,12,94.5573611111111,87.69069444444445,6.866666666666668,0.0,125.0,False,False,True,True
climate_surge,dengue,1,AC,2022-12-18,26,2022-06-19,3.0,6.0,14.0,46.75,146.5,447.75,1040.4,1713.149999999998,2648.199999999996,13,101.30611111111108,93.58388888888885,7.722222222222222,0.0,133.5,False,False,True,True
climate_surge,dengue,1,AC,2022-12-25,27,2022-06-19,2.0,6.950000000000003,18.0,47.75,142.0,378.25,908.1000000000009,1482.4499999999996,2274.25,44,78.8813888888889,78.04805555555556,0.8333333333333334,0.0,98.0,False,True,True,True
climate_surge,dengue,1,AC,2023-01-01,28,2022-06-19,2.0,5.0,12.0,43.0,162.5,478.25,1175.2,2045.1,3237.224999999999,133,93.94847222222222,93.94847222222222,0.0,0.0,29.5,True,True,True,True
climate_surge,dengue,1,AC,2023-01-08,29,2022-06-19,4.0,7.0,17.0,50.75,169.0,466.0,1227.7000000000003,1908.7999999999993,3126.399999999998,127,93.11833333333333,93.11833333333333,0.0,0.0,42.0,True,True,True,True
climate_surge,dengue,1,AC,2023-01-15,30,2022-06-19,3.0,6.0,15.0,47.0,165.0,470.75,1039.5,1740.5999999999985,3418.8249999999975,155,85.6695833333333,85.6695833333333,0.0,0.0,10.0,True,True,True,True
climate_surge,dengue,1,AC,2023-01-22,31,2022-06-19,3.0,6.950000000000003,17.0,52.0,159.5,474.0,1205.4,2130.199999999999,3976.5749999999994,180,97.79819444444445,97.79819444444445,0.0,0.0,20.5,True,True,True,True
climate_surge,dengue,1,AC,2023-01-29,32,2022-06-19,3.0,8.0,17.80000000000001,50.0,163.0,449.25,1061.4000000000008,2196.349999999994,3749.974999999999,191,93.61430555555552,93.61430555555552,0.0,0.0,28.0,True,True,True,True
climate_surge,dengue,1,AC,2023-02-05,33,2022-06-19,2.0,5.950000000000003,11.900000000000006,41.75,133.0,440.5,1061.2,1792.999999999999,2815.399999999998,196,87.95666666666665,87.95666666666665,0.0,0.0,63.0,True,True,True,True
climate_surge,dengue,1,AC,2023-02-12,34,2022-06-19,2.0,5.0,10.0,33.0,119.0,372.25,899.5000000000001,1545.8999999999992,2941.45,204,81.50972222222222,81.50972222222222,0.0,0.0,85.0,True,True,True,True
climate_surge,dengue,1,AC,2023-02-19,35,2022-06-19,2.0,4.0,8.900000000000006,33.0,123.0,363.0,923.3000000000003,1548.2999999999997,2214.024999999999,192,75.76791666666666,75.76791666666666,0.0,0.0,69.0,True,True,True,True
climate_surge,dengue,1,AC,2023-02-26,36,2022-06-19,2.0,4.950000000000003,13.0,38.0,108.5,336.75,756.6000000000001,1265.7499999999993,2407.249999999999,257,76.99305555555556,76.99305555555556,0.0,0.0,148.5,True,True,True,True
climate_surge,dengue,1,AC,2023-03-05,37,2022-06-19,1.0,4.0,8.0,31.0,101.0,289.0,769.4000000000001,1355.2999999999997,1945.7749999999892,231,71.51652777777771,71.51652777777771,0.0,0.0,130.0,True,True,True,True
climate_surge,dengue,1,AC,2023-03-12,38,2022-06-19,1.0,3.0,8.0,31.0,93.0,301.0,840.0000000000002,1290.8499999999992,2428.474999999996,288,82.95097222222219,82.95097222222219,0.0,0.0,195.0,True,True,True,True
climate_surge,dengue,1,AC,2023-03-19,39,2022-06-19,1.0,3.0,7.0,28.0,89.5,242.0,550.4000000000001,1218.1499999999999,1826.324999999999,231,63.329027777777775,63.329027777777775,0.0,0.0,141.5,True,True,True,True
climate_surge,dengue,1,AC,2023-03-26,40,2022-06-19,1.0,2.0,7.900000000000006,24.0,76.0,231.25,582.3000000000001,884.5499999999995,1298.2999999999997,197,54.736111111111114,54.736111111111114,0.0,0.0,121.0,True,True,True,True
climate_surge,dengue,1,AC,2023-04-02,41,2022-06-19,1.0,2.0,6.0,22.75,69.0,209.25,475.0,822.05,1286.3499999999951,177,49.03583333333331,49.03583333333331,0.0,0.0,108.0,True,True,True,True
climate_surge,dengue,1,AC,2023-04-09,42,2022-06-19,1.0,2.0,6.0,19.0,72.5,210.25,521.1,814.6499999999985,1152.8499999999983,198,51.4447222222222,51.4447222222222,0.0,0.0,125.5,True,True,True,True
climate_surge,dengue,1,AC,2023-04-16,43,2022-06-19,1.0,2.0,5.0,18.0,53.0,166.0,456.8000000000004,775.5999999999995,1379.7499999999984,203,59.40638888888889,51.18416666666667,0.0,8.222222222222221,150.0,False,True,True,True
climate_surge,dengue,1,AC,2023-04-23,44,2022-06-19,1.0,2.0,4.900000000000006,16.75,55.0,170.5,386.30000000000007,688.1499999999999,1203.1,126,39.208333333333336,39.208333333333336,0.0,0.0,71.0,True,True,True,True
climate_surge,dengue,1,AC,2023-04-30,45,2022-06-19,1.0,2.0,5.0,15.0,50.5,147.5,383.30000000000007,700.049999999999,1098.124999999999,134,38.896805555555545,38.896805555555545,0.0,0.0,83.5,True,True,True,True
climate_surge,dengue,1,AC,2023-05-07,46,2022-06-19,1.0,2.0,5.0,16.0,52.5,144.25,348.0,596.7999999999993,925.1499999999999,87,30.323611111111102,30.323611111111102,0.0,0.0,34.5,True,True,True,True
climate_surge,dengue,1,AC,2023-05-14,47,2022-06-19,1.0,2.0,5.0,15.0,46.0,134.25,318.30000000000007,540.1499999999999,748.3499999999997,103,30.05194444444444,30.05194444444444,0.0,0.0,57.0,True,True,True,True
climate_surge,dengue,1,AC,2023-05-21,48,2022-06-19,1.0,2.0,4.0,13.75,43.0,122.0,301.9000000000002,496.59999999999945,778.124999999999,77,26.224583333333328,26.224583333333328,0.0,0.0,34.0,True,True,True,True
climate_surge,dengue,1,AC,2023-05-28,49,2022-06-19,0.0,1.0,3.0,10.75,39.0,123.0,296.0,467.39999999999964,741.3749999999987,60,24.38152777777777,24.38152777777777,0.0,0.0,21.0,True,True,True,True
climate_surge,dengue,1,AC,2023-06-04,50,2022-06-19,0.0,1.0,3.0,11.0,39.0,123.0,277.20000000000005,461.59999999999945,615.1249999999999,60,23.184027777777775,23.184027777777775,0.0,0.0,21.0,True,True,True,True
climate_surge,dengue,1,AC,2023-06-11,51,2022-06-19,1.0,2.0,4.0,14.0,40.0,120.0,295.30000000000007,519.1499999999999,972.2499999999998,27,24.94861111111111,24.94861111111111,0.0,0.0,13.0,True,True,True,True
climate_surge,dengue,1,AC,2023-06-18,52,2022-06-19,1.0,1.0,3.0,11.0,41.0,113.0,248.0,453.1999999999998,732.4249999999996,41,20.199027777777776,20.199027777777776,0.0,0.0,0.0,True,True,True,True
climate_surge,dengue,1,AC,2023-06-25,53,2022-06-19,0.0,1.0,3.0,11.0,36.0,113.75,293.10000000000025,507.4499999999996,687.3749999999997,29,22.37875,22.37875,0.0,0.0,7.0,True,True,True,True
climate_surge,dengue,1,AC,2023-07-02,54,2022-06-19,0.0,1.0,3.0,12.0,37.0,112.25,287.30000000000007,448.14999999999986,695.2999999999997,27,21.829444444444444,21.829444444444444,0.0,0.0,10.0,True,True,True,True
climate_surge,dengue,1,AC,2023-07-09,55,2022-06-19,1.0,2.0,4.0,12.0,38.0,105.0,253.10000000000002,440.0,676.2749999999997,37,19.431527777777777,19.431527777777777,0.0,0.0,1.0,True,True,True,True
climate_surge,dengue,1,AC,2023-07-16,56,2022-06-19,0.0,1.0,3.0,10.0,35.0,95.25,231.0,340.04999999999995,463.3499999999997,33,16.36638888888889,16.36638888888889,0.0,0.0,2.0,True,True,True,True
climate_surge,dengue,1,AC,2023-07-23,57,2022-06-19,0.0,1.0,3.0,10.0,33.0,107.0,266.4000000000001,470.0999999999999,594.025,23,20.865694444444443,20.865694444444443,0.0,0.0,10.0,True,True,True,True
climate_surge,dengue,1,AC,2023-07-30,58,2022-06-19,0.0,1.0,3.0,12.0,36.0,100.25,214.20000000000005,390.8999999999992,626.3749999999997,32,17.85263888888888,17.85263888888888,0.0,0.0,4.0,True,True,True,True
climate_surge,dengue,1,AC,2023-08-06,59,2022-06-19,1.0,1.0,4.0,11.0,35.0,100.25,274.20000000000005,438.04999999999995,769.5749999999995,40,20.644305555555555,20.644305555555555,0.0,0.0,5.0,True,True,True,True
climate_surge,dengue,1,AC,2023-08-13,60,2022-06-19,0.0,1.0,3.0,10.0,36.0,99.0,261.0,429.14999999999986,632.025,34,19.16847222222222,19.16847222222222,0.0,0.0,2.0,True,True,True,True
climate_surge,dengue,1,AC,2023-08-20,61,2022-06-19,0.0,1.0,3.0,10.0,40.0,120.0,295.3000000000003,590.6999999999985,1047.3749999999995,26,26.533194444444433,26.533194444444433,0.0,0.0,14.0,True,True,True,True
climate_surge,dengue,1,AC,2023-08-27,62,2022-06-19,0.0,1.0,3.0,11.0,40.0,115.25,329.20000000000005,600.3499999999997,1038.7249999999995,37,25.804027777777776,25.804027777777776,0.0,0.0,3.0,True,True,True,True
