model,normWIS_all,normWIS_ex2024
ensemble_conformal,0.5610376820557832,0.374577665221465
xgb_quantile,0.5745021063329481,0.43355079653684614
ensemble_vincent,0.5954788061810815,0.3706537347400426
ensemble_invwis,0.5976055576399489,0.35833731814776243
mechanistic_traj,0.5976731511724461,0.4502850043792779
climatological_quantile,0.6102574234365056,0.4068786734961821
lgbm_quantile,0.6281230048930982,0.5491589483767927
seasonal_naive,0.6656310217717125,0.46756659693556674
gru_negbin,0.6727201079040579,0.38534527610705344
naive,0.7517729255315336,0.7129368543877798
