model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
gru_negbin,dengue,1,AC,2022-10-09,16,2022-06-19,10.8,14.4,19.4,31.0,48.2,70.4,96.0,113.4,130.4,31,7.566666666666667,7.566666666666667,0.0,0.0,17.200000000000003,True,True,True,True
gru_negbin,dengue,1,AC,2022-10-16,17,2022-06-19,11.0,15.2,21.2,34.6,54.8,82.0,112.8,134.2,154.8,38,8.656666666666666,8.656666666666666,0.0,0.0,16.799999999999997,True,True,True,True
gru_negbin,dengue,1,AC,2022-10-23,18,2022-06-19,11.6,16.0,23.0,38.4,63.0,96.2,134.2,160.8,186.4,43,10.484444444444446,10.484444444444446,0.0,0.0,20.0,True,True,True,True
gru_negbin,dengue,1,AC,2022-10-30,19,2022-06-19,11.8,17.0,25.0,43.0,72.4,112.8,160.0,193.2,224.8,35,15.952222222222225,14.174444444444445,1.7777777777777777,0.0,37.400000000000006,False,True,True,True
gru_negbin,dengue,1,AC,2022-11-06,20,2022-06-19,12.2,17.6,26.4,47.8,83.0,132.4,190.8,232.2,272.2,40,18.693333333333335,16.959999999999997,1.7333333333333327,0.0,43.0,False,True,True,True
gru_negbin,dengue,1,AC,2022-11-13,21,2022-06-19,12.0,18.2,28.0,53.0,94.6,155.0,226.4,277.8,327.8,30,27.003333333333334,21.892222222222223,5.111111111111111,0.0,64.6,False,True,True,True
gru_negbin,dengue,1,AC,2022-11-20,22,2022-06-19,12.6,19.2,30.4,58.2,106.4,177.0,262.0,323.2,383.0,20,37.58222222222222,26.78222222222222,10.8,0.0,86.4,False,False,True,True
gru_negbin,dengue,1,AC,2022-11-27,23,2022-06-19,12.8,20.4,32.6,63.8,118.4,199.0,296.6,367.0,436.2,30,37.492222222222225,29.403333333333332,8.088888888888889,0.0,88.4,False,False,True,True
gru_negbin,dengue,1,AC,2022-12-04,24,2022-06-19,13.4,21.6,35.0,69.0,130.6,221.4,331.8,412.0,490.2,12,55.44888888888889,35.22666666666667,20.22222222222222,0.0,118.6,False,False,False,False
gru_negbin,dengue,1,AC,2022-12-11,25,2022-06-19,15.0,23.8,38.4,76.6,145.2,247.2,371.2,461.6,549.8,12,63.019999999999996,39.50888888888889,23.51111111111111,0.0,133.2,False,False,False,False
gru_negbin,dengue,1,AC,2022-12-18,26,2022-06-19,16.6,26.4,42.6,84.8,160.8,273.0,410.4,509.8,607.2,13,70.01444444444445,43.70333333333333,26.311111111111114,0.0,147.8,False,False,False,False
gru_negbin,dengue,1,AC,2022-12-25,27,2022-06-19,18.6,29.2,47.0,92.8,175.4,297.4,446.0,553.6,659.0,44,55.72888888888888,44.21777777777778,11.511111111111111,0.0,131.4,False,False,True,True
gru_negbin,dengue,1,AC,2023-01-01,28,2022-06-19,20.8,32.6,52.2,102.2,192.0,324.2,485.0,601.2,715.2,133,38.68222222222223,38.68222222222223,0.0,0.0,59.0,True,True,True,True
gru_negbin,dengue,1,AC,2023-01-08,29,2022-06-19,23.6,36.6,57.4,111.2,205.4,344.0,511.4,632.2,750.2,127,42.387777777777785,42.387777777777785,0.0,0.0,78.4,True,True,True,True
gru_negbin,dengue,1,AC,2023-01-15,30,2022-06-19,26.6,40.4,62.6,118.4,215.2,356.2,525.0,647.0,765.8,155,41.02222222222221,41.02222222222221,0.0,0.0,60.19999999999999,True,True,True,True
gru_negbin,dengue,1,AC,2023-01-22,31,2022-06-19,30.2,44.8,68.2,126.2,224.8,366.4,535.0,656.0,773.6,180,39.61666666666667,39.61666666666667,0.0,0.0,44.80000000000001,True,True,True,True
gru_negbin,dengue,1,AC,2023-01-29,32,2022-06-19,34.4,50.0,74.2,133.4,232.2,372.2,537.6,655.8,770.4,191,38.962222222222216,38.962222222222216,0.0,0.0,41.19999999999999,True,True,True,True
gru_negbin,dengue,1,AC,2023-02-05,33,2022-06-19,39.0,55.4,80.6,140.6,239.0,375.8,536.2,650.0,760.0,196,38.58111111111111,38.58111111111111,0.0,0.0,43.0,True,True,True,True
gru_negbin,dengue,1,AC,2023-02-12,34,2022-06-19,43.0,59.8,85.2,144.4,239.2,368.8,519.0,625.0,727.0,204,36.09777777777778,36.09777777777778,0.0,0.0,35.19999999999999,True,True,True,True
gru_negbin,dengue,1,AC,2023-02-19,35,2022-06-19,45.8,62.8,87.2,143.6,232.0,351.4,488.0,584.0,675.8,192,34.18666666666666,34.18666666666666,0.0,0.0,40.0,True,True,True,True
gru_negbin,dengue,1,AC,2023-02-26,36,2022-06-19,47.4,64.2,87.6,140.4,222.0,330.6,454.0,540.0,622.4,257,31.078888888888887,31.078888888888887,0.0,0.0,35.0,True,True,True,True
gru_negbin,dengue,1,AC,2023-03-05,37,2022-06-19,49.0,64.6,86.8,135.8,209.8,307.0,416.8,492.8,565.2,231,26.825555555555553,26.825555555555553,0.0,0.0,21.19999999999999,True,True,True,True
gru_negbin,dengue,1,AC,2023-03-12,38,2022-06-19,49.0,63.6,84.4,128.8,194.8,280.6,376.2,442.4,505.2,288,33.661111111111104,32.016666666666666,0.0,1.6444444444444395,93.19999999999999,False,True,True,True
gru_negbin,dengue,1,AC,2023-03-19,39,2022-06-19,47.8,61.6,80.0,120.0,178.4,254.0,337.4,394.4,449.0,231,24.935555555555553,24.935555555555553,0.0,0.0,52.599999999999994,True,True,True,True
gru_negbin,dengue,1,AC,2023-03-26,40,2022-06-19,45.8,58.0,75.0,110.8,163.2,229.4,302.2,352.6,399.6,197,20.63222222222223,20.63222222222223,0.0,0.0,33.80000000000001,True,True,True,True
gru_negbin,dengue,1,AC,2023-04-02,41,2022-06-19,43.4,54.4,69.8,102.0,148.6,207.2,271.4,315.4,357.2,177,18.123333333333335,18.123333333333335,0.0,0.0,28.400000000000006,True,True,True,True
gru_negbin,dengue,1,AC,2023-04-09,42,2022-06-19,41.0,51.2,65.4,95.0,137.0,190.0,248.2,287.4,325.0,198,22.09777777777778,20.320000000000004,0.0,1.7777777777777777,61.0,False,True,True,True
gru_negbin,dengue,1,AC,2023-04-16,43,2022-06-19,38.6,48.0,60.6,87.4,125.0,172.6,224.4,259.4,292.6,203,27.555555555555557,20.799999999999997,0.0,6.755555555555556,78.0,False,True,True,True
gru_negbin,dengue,1,AC,2023-04-23,44,2022-06-19,36.0,44.4,56.2,80.2,114.2,157.2,203.4,235.0,264.6,126,12.247777777777777,12.247777777777777,0.0,0.0,11.799999999999997,True,True,True,True
gru_negbin,dengue,1,AC,2023-04-30,45,2022-06-19,33.4,40.8,51.4,72.8,103.6,141.2,182.8,210.8,236.8,134,13.116666666666667,13.116666666666667,0.0,0.0,30.400000000000006,True,True,True,True
gru_negbin,dengue,1,AC,2023-05-07,46,2022-06-19,30.2,37.6,46.8,65.8,93.0,126.6,162.8,187.4,210.4,87,9.287777777777778,9.287777777777778,0.0,0.0,6.0,True,True,True,True
