model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
gru_wis,dengue,1,AC,2022-10-09,16,2022-06-19,13.332670111131668,16.531083395142556,20.507542795352936,29.950485772476195,48.34937622026443,85.83324302251816,152.33463759429932,209.374665525589,285.6452700091553,31,11.617351334780059,11.617351334780059,0.0,0.0,17.349376220264432,True,True,True,True
gru_wis,dengue,1,AC,2022-10-16,17,2022-06-19,14.296011763978004,17.8803150847435,22.399282303214072,33.31266703345299,55.077924425449375,100.6926514940834,182.51409605026245,252.03473294765473,342.98437041625976,38,13.626748791564388,13.626748791564388,0.0,0.0,17.077924425449375,True,True,True,True
gru_wis,dengue,1,AC,2022-10-23,18,2022-06-19,15.39275854748726,19.45537603468895,24.63996882455826,37.36985478246689,63.33259104394913,119.15181411611557,220.38722307159424,305.7514282505035,414.62542617431643,43,16.551584462567064,16.551584462567064,0.0,0.0,20.33259104394913,True,True,True,True
gru_wis,dengue,1,AC,2022-10-30,19,2022-06-19,16.55640761083603,21.183185297546387,27.156596304893494,42.02272849822998,72.93235151708603,140.82374242206575,265.06429052490233,369.28410826721193,499.28473899703977,35,23.100707020638044,21.54010068769805,1.5606063329399957,0.0,37.93235151708603,False,True,True,True
gru_wis,dengue,1,AC,2022-11-06,20,2022-06-19,17.729977908444404,22.975999552416802,29.827390903291704,47.09049662232399,83.65009716344834,165.4829920180893,316.55804685295107,442.96025486236573,597.6296881988526,40,27.26298670460291,25.687320788530908,1.5756659160719977,0.0,43.650097163448336,False,True,True,True
gru_wis,dengue,1,AC,2022-11-13,21,2022-06-19,18.88094093981266,24.783960904507637,32.5730659600544,52.41515169312477,95.1790332129097,192.42506165557862,373.42914959617616,524.9118050991059,706.8568812301636,30,37.52702462907741,31.974087372815372,5.552937256262037,0.0,65.1790332129097,False,False,True,True
gru_wis,dengue,1,AC,2022-11-20,22,2022-06-19,20.01618477510929,26.607052710943222,35.3792420306015,57.92529161328316,107.2749670721817,220.7922440939331,433.21611744277953,611.4157809754944,822.1812250494385,20,51.857831721665356,38.54054924834598,13.317282473319372,0.0,87.2749670721817,False,False,False,False
gru_wis,dengue,1,AC,2022-11-27,23,2022-06-19,21.14708481985569,28.454278767461776,38.24180832464218,63.55626297153473,119.76122629457474,250.0879159231186,494.32120104255677,700.2258935621643,942.4204763404846,30,52.342211662422784,43.053751374383474,9.288460288039312,0.0,89.76122629457474,False,False,True,True
gru_wis,dengue,1,AC,2022-12-04,24,2022-06-19,22.29243712176323,30.350326699762345,41.191824608898166,69.33215633041382,132.5051338752365,279.2670876226044,553.2951976983643,785.4309595639038,1058.2562224433898,12,76.17033513482174,50.577725187968944,25.592609946852793,0.0,120.50513387523651,False,False,False,False
gru_wis,dengue,1,AC,2022-12-11,25,2022-06-19,23.481356311459542,32.311598061819076,44.21729137001038,75.1182600935173,144.87009149829865,306.03788542655946,604.6420640057373,859.3170061070251,1159.5094143115234,12,83.7970904522335,55.54631137738766,28.25077907484584,0.0,132.87009149829865,False,False,False,False
gru_wis,dengue,1,AC,2022-12-18,26,2022-06-19,24.719588341770173,34.335192832546234,47.298549211091995,80.81476693544388,156.47025905563353,329.09535809646604,645.4608468778991,917.677513079834,1240.9857438763427,13,89.63630540140755,59.59895044121816,30.037354960189393,0.0,143.47025905563353,False,False,False,False
gru_wis,dengue,1,AC,2022-12-25,27,2022-06-19,26.20519383498192,36.683003303508755,50.77428481277466,86.95612952262879,168.30402601589202,350.5342445358276,679.8224602755737,965.9387236662293,1310.098280819397,44,70.942641519039,59.89143833339378,11.05120318564521,0.0,124.30402601589202,False,False,True,True
gru_wis,dengue,1,AC,2023-01-01,28,2022-06-19,28.483518789510725,40.10306472564697,55.61726601928711,95.00850746538163,182.75604797893524,374.3903711453247,713.8945549676514,1012.2510412792968,1376.578963715515,133,53.96911194558277,53.96911194558277,0.0,0.0,49.75604797893524,True,True,True,True
gru_wis,dengue,1,AC,2023-01-08,29,2022-06-19,31.366675181150438,44.34476622141838,61.52266811336517,104.58242984052659,199.38090726356506,400.18049540222165,748.6863106970214,1058.0018777119446,1440.510088892212,127,58.8261722661944,58.8261722661944,0.0,0.0,72.38090726356506,True,True,True,True
gru_wis,dengue,1,AC,2023-01-15,30,2022-06-19,34.72596459606171,49.152392679834364,67.99733488517761,114.47300234876633,215.3306675950241,422.2617720048523,775.9926238059998,1093.7846301512145,1493.127078598938,155,59.24526551716815,59.24526551716815,0.0,0.0,60.330667595024096,True,True,True,True
gru_wis,dengue,1,AC,2023-01-22,31,2022-06-19,37.911409091949466,53.57407096200943,73.73672931404114,122.53947179740906,226.54891687705992,432.9686561503601,781.4290613516235,1100.1940742518616,1509.1637300408936,180,57.94739909305382,57.94739909305382,0.0,0.0,46.54891687705992,True,True,True,True
gru_wis,dengue,1,AC,2023-01-29,32,2022-06-19,40.634071065187456,57.16232940433502,78.09939203006745,127.66813725105285,230.9283157873535,429.4858223563385,762.1450866375733,1074.5793707244873,1488.072313223877,191,55.7511015001608,55.7511015001608,0.0,0.0,39.92831578735351,True,True,True,True
