model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
mechanistic_nsub,dengue,1,AC,2022-10-09,16,2022-06-19,0.0,1.0,3.0,10.0,40.0,173.25,926.5000000000003,2100.4999999999995,3242.2,31,71.93166666666667,71.93166666666667,0.0,0.0,9.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-10-16,17,2022-06-19,0.0,1.0,2.0,9.0,32.0,197.5,807.1000000000003,1864.6499999999994,2905.2499999999955,38,65.87749999999998,65.87749999999998,0.0,0.0,6.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-10-23,18,2022-06-19,0.0,1.0,3.0,11.0,36.0,245.25,903.9000000000002,1875.8499999999992,3428.6249999999995,43,73.69125,73.69125,0.0,0.0,7.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-10-30,19,2022-06-19,1.0,2.0,4.0,14.0,47.0,309.25,999.7000000000002,1527.1999999999998,2977.325,35,73.34458333333333,73.34458333333333,0.0,0.0,12.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-11-06,20,2022-06-19,1.0,2.0,6.0,16.0,60.0,413.25,1242.2000000000005,2164.1499999999996,3426.2999999999997,40,94.81611111111111,94.81611111111111,0.0,0.0,20.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-11-13,21,2022-06-19,1.0,3.0,7.0,21.75,75.0,373.75,1196.2,1909.8999999999992,2719.7999999999993,30,87.27444444444443,87.27444444444443,0.0,0.0,45.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-11-20,22,2022-06-19,2.0,3.0,7.0,23.75,87.5,446.75,1060.0000000000002,1520.9499999999991,2403.4749999999985,20,85.44097222222221,84.60763888888887,0.8333333333333334,0.0,67.5,False,True,True,True
mechanistic_nsub,dengue,1,AC,2022-11-27,23,2022-06-19,1.0,3.950000000000003,7.0,25.0,97.0,411.0,1109.8000000000002,1783.7999999999993,2481.774999999999,30,86.95374999999999,86.95374999999999,0.0,0.0,67.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2022-12-04,24,2022-06-19,3.0,4.950000000000003,11.0,33.0,109.0,420.0,1199.5,1831.8499999999992,2459.274999999998,12,97.30041666666665,92.63374999999999,4.666666666666667,0.0,97.0,False,True,True,True
mechanistic_nsub,dengue,1,AC,2022-12-11,25,2022-06-19,2.0,5.0,9.900000000000006,31.0,112.0,376.25,1009.8000000000002,1561.5499999999995,2460.5499999999975,12,87.6875,83.46527777777777,4.222222222222222,0.0,100.0,False,True,True,True
mechanistic_nsub,dengue,1,AC,2022-12-18,26,2022-06-19,1.9750000000000014,5.0,10.900000000000006,31.75,112.5,410.5,911.4000000000001,1404.1499999999999,2312.6249999999986,13,84.65805555555556,80.49138888888889,4.166666666666667,0.0,99.5,False,True,True,True
mechanistic_nsub,dengue,1,AC,2022-12-25,27,2022-06-19,2.0,4.0,9.900000000000006,33.0,100.0,331.0,799.6000000000001,1293.199999999999,1995.7999999999993,44,65.72777777777777,65.72777777777777,0.0,0.0,56.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-01-01,28,2022-06-19,4.0,6.0,12.0,37.0,119.5,374.75,902.9000000000004,1543.2499999999998,2732.0,133,72.29777777777778,72.29777777777778,0.0,0.0,13.5,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-01-08,29,2022-06-19,4.0,7.0,14.0,43.75,137.0,460.0,1203.6000000000004,1915.7499999999984,2804.999999999998,127,87.4411111111111,87.4411111111111,0.0,0.0,10.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-01-15,30,2022-06-19,5.0,9.0,19.0,51.0,168.5,532.75,1205.2,2026.8499999999992,2902.7999999999984,155,93.14333333333333,93.14333333333333,0.0,0.0,13.5,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-01-22,31,2022-06-19,3.0,8.0,17.0,58.0,158.5,477.0,1022.6000000000006,1711.099999999998,2347.2749999999987,180,79.96041666666665,79.96041666666665,0.0,0.0,21.5,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-01-29,32,2022-06-19,3.0,7.950000000000003,16.0,52.0,155.5,388.25,956.8000000000004,1848.7499999999993,2608.2999999999997,191,78.45888888888891,78.45888888888891,0.0,0.0,35.5,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-02-05,33,2022-06-19,4.975000000000001,11.0,19.0,50.0,151.0,378.25,878.8000000000002,1370.9999999999982,2799.7999999999984,196,72.98069444444442,72.98069444444442,0.0,0.0,45.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-02-12,34,2022-06-19,3.0,7.0,14.900000000000006,53.0,137.0,358.0,810.1000000000003,1463.5499999999995,1951.8249999999994,204,69.07069444444444,69.07069444444444,0.0,0.0,67.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-02-19,35,2022-06-19,3.0,5.0,12.0,41.75,118.0,319.0,720.5000000000001,1153.6999999999975,1825.8499999999992,192,62.259722222222194,62.259722222222194,0.0,0.0,74.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-02-26,36,2022-06-19,4.0,7.0,15.0,41.75,109.0,279.25,588.0,1065.3999999999996,1748.5999999999985,257,63.82444444444444,63.82444444444444,0.0,0.0,148.0,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-03-05,37,2022-06-19,2.0,5.0,12.0,37.75,98.5,234.25,528.6000000000001,1027.0,1630.8249999999994,231,57.52347222222223,57.52347222222223,0.0,0.0,132.5,True,True,True,True
mechanistic_nsub,dengue,1,AC,2023-03-12,38,2022-06-19,2.0,4.0,11.0,34.0,81.5,217.0,519.9000000000002,902.4499999999996,1298.5999999999985,288,77.38388888888888,61.606111111111105,0.0,15.777777777777779,206.5,False,True,True,True
mechanistic_nsub,dengue,1,AC,2023-03-19,39,2022-06-19,2.0,5.0,12.900000000000006,31.0,85.5,196.0,468.1,686.4999999999995,1017.4749999999996,231,56.44041666666666,48.66263888888888,0.0,7.777777777777778,145.5,False,True,True,True
mechanistic_nsub,dengue,1,AC,2023-03-26,40,2022-06-19,2.0,4.0,8.0,23.0,67.0,154.25,378.30000000000007,565.05,882.1749999999989,197,50.58874999999999,41.08874999999999,0.0,9.5,130.0,False,True,True,True
mechanistic_nsub,dengue,1,AC,2023-04-02,41,2022-06-19,1.0,3.0,10.0,23.0,61.5,137.5,292.1,437.4499999999996,705.0,177,42.97944444444445,34.20166666666667,0.0,8.777777777777779,115.5,False,True,True,True
mechanistic_nsub,dengue,1,AC,2023-04-09,42,2022-06-19,2.0,4.0,7.900000000000006,20.0,57.0,123.0,243.0,364.14999999999986,499.14999999999986,198,50.04361111111111,33.37694444444444,0.0,16.666666666666668,141.0,False,True,True,True
