model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
mechanistic_traj,dengue,1,AC,2022-10-09,16,2022-06-19,0.0,1.0,2.0,8.0,27.0,98.5,547.9000000000002,1230.199999999999,2696.2249999999917,31,46.240138888888836,46.240138888888836,0.0,0.0,4.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-10-16,17,2022-06-19,0.0,1.0,2.0,9.0,32.0,135.25,563.1000000000003,1480.099999999999,2189.0499999999993,38,48.74527777777777,48.74527777777777,0.0,0.0,6.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-10-23,18,2022-06-19,0.0,1.0,2.0,8.0,29.5,166.0,661.4000000000001,1583.5999999999995,2965.8249999999994,43,58.99236111111111,58.99236111111111,0.0,0.0,13.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-10-30,19,2022-06-19,0.0,1.0,3.0,11.0,36.5,198.75,773.5000000000001,1249.0,1936.299999999996,35,52.34333333333332,52.34333333333332,0.0,0.0,1.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-11-06,20,2022-06-19,0.0,1.0,5.0,14.0,48.0,253.25,848.4000000000005,1431.4499999999996,2217.05,40,61.13361111111112,61.13361111111112,0.0,0.0,8.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-11-13,21,2022-06-19,1.0,2.0,5.0,18.0,60.0,358.5,1153.5000000000005,1643.0999999999972,2159.7999999999984,30,77.99999999999997,77.99999999999997,0.0,0.0,30.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-11-20,22,2022-06-19,1.0,2.0,6.0,19.75,70.5,366.5,1068.2000000000003,1869.4499999999996,2596.8999999999983,20,83.65055555555556,83.65055555555556,0.0,0.0,50.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-11-27,23,2022-06-19,1.0,3.0,6.0,19.0,82.0,341.0,1056.0000000000002,1683.5499999999995,2479.6999999999985,30,79.44333333333333,79.44333333333333,0.0,0.0,52.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2022-12-04,24,2022-06-19,1.0,3.0,9.0,32.0,97.5,365.25,1120.3000000000002,1767.8499999999983,2813.8999999999983,12,92.39055555555554,87.9461111111111,4.444444444444445,0.0,85.5,False,True,True,True
mechanistic_traj,dengue,1,AC,2022-12-11,25,2022-06-19,2.0,4.0,9.0,24.0,103.0,377.25,981.4000000000003,1601.7999999999993,2183.5499999999965,12,83.88472222222221,81.21805555555554,2.6666666666666665,0.0,91.0,False,True,True,True
mechanistic_traj,dengue,1,AC,2022-12-18,26,2022-06-19,1.0,4.0,8.0,25.0,97.0,410.25,1057.8000000000004,1639.5499999999913,2869.4749999999995,13,90.8404166666666,88.17374999999993,2.6666666666666665,0.0,84.0,False,True,True,True
mechanistic_traj,dengue,1,AC,2022-12-25,27,2022-06-19,2.0,5.0,9.0,25.0,86.0,283.0,788.4000000000003,1501.8499999999983,2196.074999999999,44,65.1409722222222,65.1409722222222,0.0,0.0,42.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-01-01,28,2022-06-19,2.0,5.0,11.0,37.0,138.5,496.75,1395.2000000000003,2582.499999999997,3944.999999999998,133,107.45722222222217,107.45722222222217,0.0,0.0,5.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-01-08,29,2022-06-19,4.0,7.0,13.0,40.0,138.0,553.5,1522.0000000000002,2461.949999999999,3862.5249999999996,127,111.99680555555557,111.99680555555557,0.0,0.0,11.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-01-15,30,2022-06-19,3.0,7.0,16.0,50.75,155.0,623.5,1698.4000000000005,2591.3499999999985,3669.6999999999994,155,118.29166666666664,118.29166666666664,0.0,0.0,0.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-01-22,31,2022-06-19,4.0,9.0,17.0,52.75,175.5,505.0,1183.6000000000001,2033.5999999999985,3063.25,180,91.04083333333331,91.04083333333331,0.0,0.0,4.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-01-29,32,2022-06-19,4.0,8.0,15.900000000000006,49.0,151.5,429.25,1172.3000000000006,1864.9499999999991,2700.225,191,86.82347222222222,86.82347222222222,0.0,0.0,39.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-02-05,33,2022-06-19,4.975000000000001,8.0,16.0,44.0,121.0,400.25,1009.0000000000005,1627.7499999999966,2337.324999999999,196,81.14638888888885,81.14638888888885,0.0,0.0,75.0,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-02-12,34,2022-06-19,3.0,7.0,17.0,44.75,139.5,378.25,925.4000000000003,1528.049999999999,1905.2999999999997,204,73.35000000000001,73.35000000000001,0.0,0.0,64.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-02-19,35,2022-06-19,3.0,6.0,12.0,35.0,114.5,308.5,851.3000000000003,1446.1999999999998,2166.225,192,70.47680555555557,70.47680555555557,0.0,0.0,77.5,True,True,True,True
mechanistic_traj,dengue,1,AC,2023-02-26,36,2022-06-19,2.0,7.0,15.0,39.0,108.5,291.0,718.6000000000001,1355.2499999999989,2082.499999999997,257,72.67444444444442,72.67444444444442,0.0,0.0,148.5,True,True,True,True
