model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
prophet,dengue,1,AC,2022-10-09,16,2022-06-19,7.857902903617457,14.24618473695405,21.64385816846586,41.483626322340605,81.42198701785219,164.0656985857434,315.33213537382215,454.61004878463376,596.5204379585383,31,29.4319382658689,27.102243527570987,2.329694738297912,0.0,50.42198701785219,False,True,True,True
prophet,dengue,1,AC,2022-10-16,17,2022-06-19,14.444709182014613,18.180668212985815,28.282578526435227,53.58307842546075,103.8831479473664,204.03956228027704,388.7598297176099,578.7234738003461,753.4734946972696,38,37.48652408871441,34.02361777194537,3.4629063167690552,0.0,65.8831479473664,False,True,True,True
prophet,dengue,1,AC,2022-10-23,18,2022-06-19,18.581620125110586,24.39722288666991,33.279199887467605,60.171371228258536,126.9704237324841,240.271220934033,433.4572044147409,731.1611857596712,979.8855901827362,43,45.23780963750273,41.42194936455638,3.8158602729463413,0.0,83.9704237324841,False,True,True,True
prophet,dengue,1,AC,2022-10-30,19,2022-06-19,18.545735336780353,23.895059869369327,33.219250521853034,64.66290188433143,123.78103362321276,266.62836913286844,500.2196590526068,753.4264547134158,1055.8924646257096,35,51.92334763012733,45.33159165583146,6.591755974295874,0.0,88.78103362321276,False,True,True,True
prophet,dengue,1,AC,2022-11-06,20,2022-06-19,18.662291495935687,27.460241316623538,39.84402174252872,75.74463388130019,148.8645230557711,286.978491268892,517.6703987469001,811.0733216791915,1110.8422135905703,40,57.167366561558914,49.22411458793665,7.943251973622264,0.0,108.86452305577109,False,True,True,True
prophet,dengue,1,AC,2022-11-13,21,2022-06-19,24.864871173630227,36.667062870723896,48.27762459582854,87.09477201907728,166.6420166713354,347.24949797728124,655.9474699406272,867.9321146266888,1116.1445533255228,30,76.6691952193164,58.4382042225098,18.230990996806604,0.0,136.6420166713354,False,False,False,True
prophet,dengue,1,AC,2022-11-20,22,2022-06-19,30.25448601259824,42.11553584025429,59.57901602259805,115.33293486878026,216.95594773986693,434.49503746771285,774.3966685449396,1106.9620949663754,1483.807418946485,20,112.58075306572997,75.40698134478977,37.17377172094019,0.0,196.95594773986693,False,False,False,False
prophet,dengue,1,AC,2022-11-27,23,2022-06-19,34.090560865641,50.29874124874289,75.65350129170679,132.29912691211712,257.7058433514844,542.4436252479397,1017.2766141791243,1409.1363409156108,1764.0306690058824,30,132.01859345633264,93.72038671895311,38.29820673737951,0.0,227.70584335148442,False,False,False,False
prophet,dengue,1,AC,2022-12-04,24,2022-06-19,29.808845515710086,52.295420066533225,78.24238025459638,142.0045838997043,278.81773492810566,559.2969571159908,936.8890657423199,1321.3630406949128,2026.9339174421543,12,153.62874819622687,97.10625269921708,56.52249549700978,0.0,266.81773492810566,False,False,False,False
prophet,dengue,1,AC,2022-12-11,25,2022-06-19,35.39130961371425,45.43359290835082,64.11506933912264,130.6242276932236,245.64180967157984,464.90829591620513,806.6601033707221,1221.3628317534426,1672.7679469856557,12,133.7647783834799,83.19495626027741,50.569822123202506,0.0,233.64180967157984,False,False,False,False
prophet,dengue,1,AC,2022-12-18,26,2022-06-19,26.052034642308428,38.64330715693271,55.52701006007383,108.83450405502299,223.5537163729859,421.76475898495335,833.9793762333596,1272.4974056561175,1695.8433515004708,13,120.41088939934563,81.06492141838164,39.34596798096399,0.0,210.5537163729859,False,False,False,False
prophet,dengue,1,AC,2022-12-25,27,2022-06-19,29.90683999669165,41.12215183727545,59.53833076833544,116.29313843553552,240.71294750061512,444.6644286201142,809.6823724490541,1248.4453461483308,1670.9589027304216,44,98.8194735449536,79.3013692774267,19.51810426752688,0.0,196.71294750061512,False,False,True,True
prophet,dengue,1,AC,2023-01-01,28,2022-06-19,35.90878818079893,47.402885422095665,72.29867124111038,142.2633472071759,265.66612239373075,572.2991457361036,1059.952177740684,1524.8037465046737,2054.5574291450444,133,90.26821505877014,88.20969345717549,2.058521601594647,0.0,132.66612239373075,False,True,True,True
prophet,dengue,1,AC,2023-01-08,29,2022-06-19,57.63284442867816,81.45568771104227,111.2522568680984,207.5004396080554,376.0353686864472,678.8263782771296,1276.3337907995729,2011.948357740533,2708.866008213194,127,133.81404991284055,115.9250633332727,17.888986579567863,0.0,249.0353686864472,False,True,True,True
