model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
prophet_v2,dengue,1,AC,2022-10-09,16,2022-06-19,28.49478026915241,29.827588290725743,33.48709559651284,60.925145085280604,107.41223699249936,316.77288234826466,774.2082939376608,4214.53494986631,5961.450313798448,31,125.82481549887014,118.62209534736047,7.202720151509654,0.0,76.41223699249936,False,False,True,True
prophet_v2,dengue,1,AC,2022-10-16,17,2022-06-19,8.574643509623098,12.452072811497539,14.596173418430366,27.463769576475723,54.55631413677942,206.7769969030336,990.5239801336645,2434.6135205076785,3443.1306361881966,38,79.48249261629468,79.48249261629468,0.0,0.0,16.55631413677942,True,True,True,True
prophet_v2,dengue,1,AC,2022-10-23,18,2022-06-19,13.770542783106784,15.090066610899612,18.248886444086697,34.71899851894537,75.41216873179886,233.6209786325715,490.0154269245572,1246.4071013328007,2817.077844369503,43,54.39039282624623,54.39039282624623,0.0,0.0,32.41216873179886,True,True,True,True
prophet_v2,dengue,1,AC,2022-10-30,19,2022-06-19,13.546349666398521,18.538062259422606,22.154210026258067,35.06024877055852,77.34091391990492,264.5179803657976,563.1576946013514,1428.1228377493205,3226.1923066671993,35,62.99797217474335,62.98458355906368,0.013388615679671843,0.0,42.34091391990492,False,True,True,True
prophet_v2,dengue,1,AC,2022-11-06,20,2022-06-19,17.251977838046034,22.08765226656296,25.441059000406497,46.70533776876444,105.28705877036928,348.2406372400554,703.8897469275449,1667.1864135739224,3660.122132839643,40,79.08983394553191,77.5997588858065,1.4900750597254304,0.0,65.28705877036928,False,True,True,True
prophet_v2,dengue,1,AC,2022-11-13,21,2022-06-19,21.48364022514168,27.583141758207027,30.092162323688378,48.99743943756264,129.84669496080394,433.33953900461665,827.7263135356218,1982.5006587052692,4314.453426975481,30,99.98489106016034,95.74275733543787,4.242133724722448,0.0,99.84669496080394,False,False,True,True
prophet_v2,dengue,1,AC,2022-11-20,22,2022-06-19,26.77714593539253,34.50411200929957,39.65206391122792,59.44475089584553,154.42907458725688,578.7283865906207,949.5281442407734,2092.767318415578,2812.144159956479,20,120.21076948286299,102.3489755380262,17.861793944836787,0.0,134.42907458725688,False,False,False,False
prophet_v2,dengue,1,AC,2022-11-27,23,2022-06-19,33.10191873818629,41.435876840000844,49.1504254016321,80.34529929296328,195.50592906904296,715.3358741697574,1729.9224433171203,2875.745014403064,3736.2132193263556,30,161.7565710468686,143.08245543069472,18.674115616173893,0.0,165.50592906904296,False,False,False,False
prophet_v2,dengue,1,AC,2022-12-04,24,2022-06-19,38.37420615282073,46.459629035844344,53.961813369204485,82.65167133560915,205.31182106366407,693.2713207519067,1300.4796165428745,3009.3152305128992,3298.951331756349,12,172.68158473570958,134.13773587049207,38.543848865217484,0.0,193.31182106366407,False,False,False,False
prophet_v2,dengue,1,AC,2022-12-11,25,2022-06-19,51.52753154756661,56.298249354268656,68.66137358926183,109.37874053828575,236.883116779055,774.8420634763665,1469.8826913462904,3152.227604054481,3516.67392374084,12,199.60456521532797,146.74547743102067,52.8590877843073,0.0,224.883116779055,False,False,False,False
prophet_v2,dengue,1,AC,2022-12-18,26,2022-06-19,51.91260444100584,62.32210346818694,77.84359296969241,126.20298877606122,322.8282516841166,1057.0644147305743,2232.0068735809027,3580.5930878752392,3988.205986071401,13,254.1439964017481,194.97037647842666,59.173619923321425,0.0,309.8282516841166,False,False,False,False
prophet_v2,dengue,1,AC,2022-12-25,27,2022-06-19,52.694098523999706,61.68150856258546,86.16760440060153,148.00539923079356,327.4336798181747,975.2613909981927,1988.1114266346538,3267.0029780245095,4434.620700090301,44,218.0195709565725,179.67543524146583,38.344135715106724,0.0,283.4336798181747,False,False,False,False
prophet_v2,dengue,1,AC,2023-01-01,28,2022-06-19,67.19367123735611,81.34267516768055,104.68499895840633,183.6055353760395,388.98837941791294,1180.585855124417,2916.1921253341134,4714.691353142209,5578.64079942975,133,239.65536216959947,228.4096876415906,11.24567452800878,0.0,255.98837941791294,False,True,True,True
prophet_v2,dengue,1,AC,2023-01-08,29,2022-06-19,76.87082625009603,97.97880378764435,111.83839465668375,205.5636521616295,435.18647206740104,1109.629912975431,2936.0769047423028,3797.1579545648756,5327.44190390996,127,234.96011975282232,217.50153038357132,17.458589369251,0.0,308.18647206740104,False,True,True,True
