model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
surge_template,dengue,1,AC,2022-10-09,16,2022-06-19,0.0,2.0,4.0,16.0,61.0,217.25,559.7000000000002,959.1499999999999,1503.6499999999985,31,45.851388888888884,45.851388888888884,0.0,0.0,30.0,True,True,True,True
surge_template,dengue,1,AC,2022-10-16,17,2022-06-19,1.0,2.0,5.0,18.0,60.0,252.0,765.2,1356.149999999999,1879.8249999999975,38,57.82180555555553,57.82180555555553,0.0,0.0,22.0,True,True,True,True
surge_template,dengue,1,AC,2022-10-23,18,2022-06-19,1.0,2.0,4.0,17.75,58.0,221.75,646.1,1265.2999999999997,1972.8499999999983,43,52.26027777777777,52.26027777777777,0.0,0.0,15.0,True,True,True,True
surge_template,dengue,1,AC,2022-10-30,19,2022-06-19,1.0,2.950000000000003,6.0,23.0,83.0,260.0,776.3000000000001,1443.099999999998,2217.1749999999997,35,63.931527777777745,63.931527777777745,0.0,0.0,48.0,True,True,True,True
surge_template,dengue,1,AC,2022-11-06,20,2022-06-19,1.0,3.0,8.0,25.0,84.0,288.25,765.4000000000001,1446.7499999999993,2334.124999999999,40,65.34847222222223,65.34847222222223,0.0,0.0,44.0,True,True,True,True
surge_template,dengue,1,AC,2022-11-13,21,2022-06-19,1.0,3.0,9.0,24.0,91.5,325.5,751.8000000000004,1309.4499999999978,1928.324999999999,30,65.3134722222222,65.3134722222222,0.0,0.0,61.5,True,True,True,True
surge_template,dengue,1,AC,2022-11-20,22,2022-06-19,2.0,4.0,9.0,29.0,97.0,284.25,835.300000000001,1483.4999999999995,2365.5749999999994,20,72.66819444444445,70.66819444444445,2.0,0.0,77.0,False,True,True,True
surge_template,dengue,1,AC,2022-11-27,23,2022-06-19,2.0,4.0,9.0,32.0,96.0,247.5,842.4000000000001,1469.6499999999985,2245.9249999999993,30,67.02124999999998,66.57680555555554,0.4444444444444444,0.0,66.0,False,True,True,True
surge_template,dengue,1,AC,2022-12-04,24,2022-06-19,2.0,4.0,10.0,34.0,120.0,348.75,780.5000000000003,1335.8499999999992,2035.6999999999966,12,77.59388888888887,72.70499999999998,4.888888888888889,0.0,108.0,False,True,True,True
surge_template,dengue,1,AC,2022-12-11,25,2022-06-19,2.0,5.0,11.0,38.0,119.5,371.75,932.1000000000005,1611.299999999998,2301.449999999999,12,87.35527777777776,81.57749999999999,5.777777777777778,0.0,107.5,False,True,True,True
